Name	Title	Series	Money	Description
Kutumb	Kutumb (25 M)	Series A	25000000.0	Kutumb is a social community enabler.
BlockFi	BlockFi (350 M)	Series D	350000000.0	BlockFi is a secured non-bank lender that offers cryptoasset-backed USD loans to cryptoasset owners.
Ruangguru	Ruangguru (55 M)	Venture - Series Unknown	55000000.0	Ruangguru is an information technology company that focuses on education-based services.
Razorpay	Razorpay (160 M)	Series E	160000000.0	Razorpay is a platform that enables businesses to accept, process, and disburse payments.
Scale AI	Scale AI (325 M)	Series E	325000000.0	Scale AI is the data platform for AI, providing high quality training data for leading machine learning teams.
Databricks	Databricks (1000 M)	Series G	1000000000.0	Databricks is a data-and-AI company that interacts with corporate information stored in the public cloud.
Groq	Groq (300 M)	Series C	300000000.0	Groq develops a tensor processing unit, which is an integrated circuit developed specifically for machine learning.
Virta Health	Virta Health (133 M)	Series E	133000000.0	Virta delivers a clinically-proven treatment to reverse type 2 diabetes and other chronic metabolic diseases.
CRED	CRED (215 M)	Series D	214749244.0	CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.
Loft	Loft (425 M)	Series D	425000000.0	Loft is a marketplace for residential real estate that helps manage the home buying and selling process.
AfterShip	AfterShip (66 M)	Series B	66000000.0	We help e-commerce businesses grow and make buying and selling accessible to everyone, everywhere.
UiPath	UiPath (750 M)	Series F	750000000.0	UiPath is a software company developing robotic process automation and artificial intelligence software.
Vestiaire Collective	Vestiaire Collective (214 M)	Series H	214466875.0	Vestiaire Collective is a global marketplace enabling people to buy and sell luxury, pre-owned fashion products.
HighRadius	HighRadius (300 M)	Series C	300000000.0	HighRadius is a SaaS company that develops an artificial intelligence-based order-to-cash and treasury management software.
Lacework	Lacework (525 M)	Series D	525000000.0	Lacework is a security platform for the cloud generation of builders that provides compliance checks and automated threat defense.
Hinge Health	Hinge Health (300 M)	Series D	300000000.0	Hinge Health is a patient-centered digital clinic that treats chronic musculoskeletal conditions such as back and joint pain.
Dingdong Maicai	Dingdong Maicai (700 M)	Series D	700000000.0	Dingdong Maicai is a fresh vegetable e-commerce platform.
Wolt	Wolt (530 M)	Series E	530000000.0	Wolt is a food delivery company specializing in real-time logistics optimization.
OutSystems	OutSystems (150 M)	Series E	150000000.0	OutSystems is a low-code platform that enables businesses to develop, deploy, and manage enterprise-grade apps.
Ally.io	Ally.io (50 M)	Series C	50000000.0	Ally.io is a strategic goal-planning and execution management software.
Daily.co	Daily.co (15 M)	Series A	15000000.0	Daily.co offers video chat as an API.
Rapyd	Rapyd (300 M)	Series D	300000000.0	Rapyd is a payments platform that inserts fintech services into any app and simplifies the complex offering of local payment methods.
Getir	Getir (128 M)	Series B	128000000.0	Getir is a technology company that provides on-demand delivery services.
Crosschq	Crosschq (13 M)	Series A	13000000.0	Crosschq is a technology platform that provides a human intelligence-based hiring platform.
Cityblock Health	Cityblock Health (192 M)	Series C	192000000.0	Cityblock Health is a tech-driven healthcare provider for those in underserved communities.
Roblox	Roblox (520 M)	Series H	520000000.0	Roblox is an online gaming and entertainment platform offering a shared digital experience that brings people together through play.
TaxBit	TaxBit (100 M)	Series A	100000000.0	Best-in-class cryptocurrency tax software platform and accounting firm enabling widespread adoption with real-time tax automation.
Hopin	Hopin (400 M)	Series C	400000000.0	Hopin is a live virtual events platform where users can learn, interact, and connect with people from around the globe.
FalconX	FalconX (50 M)	Venture - Series Unknown	50000000.0	FalconX is a cryptocurrency brokerage and digital asset trading platform.
Branded	Branded (150 M)	Series A	150000000.0	Branded is a startup company that acquires and partners with top-performing Amazon sellers and brands.
ShareChat	ShareChat (502 M)	Series E	502000000.0	ShareChat is a social networking and regional content platform.
Public.com	Public.com (220 M)	Series D	220000000.0	Public is an investing social network where members can invest any amount of money and own fractional shares of stocks and ETFs.
Squarespace	Squarespace (300 M)	Venture - Series Unknown	300000000.0	Squarespace is an all-in-one platform for websites, domains, online stores, marketing tools, and scheduling.
Flutterwave	Flutterwave (170 M)	Series C	170000000.0	Flutterwave is a fintech company that provides a payment infrastructure for global merchants and payment service providers.
Mambu	Mambu (135 M)	Series D	134960714.0	Mambu is a software-as-a-service banking engine provider that powers lending and deposit services.
BRYTER	BRYTER (66 M)	Series B	66000000.0	BRYTER is a no-code software platform that automates and helps its users develop and build digital applications.
GupShup	GupShup (100 M)	Series F	100000000.0	Gupshup enables its users to communicate and share their short messages privately and publicly.
Lattice	Lattice (60 M)	Series E	60000000.0	Lattice is a people management platform that empowers people leaders to build engaged, high-performing teams.
Pristyn Care	Pristyn Care (53 M)	Series D	53000000.0	Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures
Yotpo	Yotpo (230 M)	Series F	230000000.0	Yotpo is an eCommerce marketing platform that helps brands accelerate their direct-to-consumer growth.
Blair	Blair (6 M)	Seed	6300000.0	Blair provides a platform that allows schools to finance students through Income-Share Agreements.
SaltPay	SaltPay (500 M)	Series C	500000000.0	SaltPay is a FinTech company dedicated to building a better future for merchants by servicing them through payment and management tools.
Dream11	Dream11 (400 M)	Secondary Market	400000000.0	Dream11 is India’s biggest fantasy sports platform with 10 Crore+ users
Redis Labs	Redis Labs (110 M)	Series G	110000000.0	Redis Labs provides an in-memory database platform for applications and different services.
Sendbird	Sendbird (100 M)	Series C	100000000.0	Sendbird developed a messaging-as-a-service API that provides chat, voice, and video messaging for mobile apps and websites.
Highspot	Highspot (200 M)	Series E	200000000.0	Highspot is an AI-fueled sales enablement platform that helps companies worldwide improve the performance of their sales teams.
ServiceTitan	ServiceTitan (500 M)	Series F	500000000.0	ServiceTitan is a service management software that helps home services businesses generate more leads and close more sales.
TytoCare	TytoCare (50 M)	Series D	50000000.0	TytoCare is a telehealth platform for AI-powered and on-demand remote medical examinations.
DispatchHealth	DispatchHealth (200 M)	Series D	200000000.0	DispatchHealth is a provider of mobile and virtual healthcare for people of all ages in the comfort of their own homes.
Checkout.com	Checkout.com (450 M)	Series C	450000000.0	Checkout.com is an API-based platform providing online payment solutions that improve the user's checkout experience.
Innovaccer	Innovaccer (105 M)	Series D	105000000.0	Innovaccer is a healthcare data activation platform company that delivers healthcare through pioneering analytics and transparent data.
Dutchie	Dutchie (200 M)	Series C	200000000.0	Dutchie provides an all-in-one technology platform that powers dispensary operations.
OneStream Software	OneStream Software (200 M)	Series B	200000000.0	OneStream Software is an independent software company that develops a financial planning and analysis software.
Groww	Groww (83 M)	Series D	83062674.0	Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.
Sidecar Health	Sidecar Health (125 M)	Series C	125000000.0	Sidecar Health is an insurtech company that provides a personalized health insurance platform.
Cockroach Labs	Cockroach Labs (160 M)	Series E	160000000.0	Cockroach Labs is a software company that develops a cloud-native SQL database for modern cloud applications.
Kong	Kong (100 M)	Series D	100000000.0	Kong is the cloud-connectivity company offering the industry-leading service connectivity platform designed for modern architectures.
Komodo Health	Komodo Health (220 M)	Series E	220000000.0	Komodo Health develops computer software that brings transparency and market intelligence to healthcare and life sciences.
SeekOut	SeekOut (65 M)	Series B	65399972.0	SeekOut gives companies a competitive edge in recruiting hard-to-find and diverse talent.
Vendr	Vendr (60 M)	Series A	60000000.0	Vendr empowers companies to purchase SaaS without friction.
Rhino	Rhino (95 M)	Private Equity	95000000.0	Rhino is a licensed insurance agency that gives renters financial alternatives to security deposits.
6sense	6sense (125 M)	Series D	125000000.0	6sense is an account engagement platform that helps B2B organizations achieve predictable revenue growth.
Weee!	Weee! (316 M)	Series D	316000149.0	Weee! is an online grocery delivery platform that offers Hispanic and Asian foods specialty products and everyday staples.
Zomato	Zomato (250 M)	Venture - Series Unknown	250000000.0	Zomato is an online restaurant guide and food ordering platform that allows users to order meals from restaurants and have them delivered.
Blend	Blend (300 M)	Series G	300000000.0	Blend is a digital lending platform that supports and simplifies applications for mortgages, consumer loans, and deposit accounts.
Locus Robotics	Locus Robotics (150 M)	Series E	150000000.0	Locus Robotics is a warehouse robotics company that manufactures autonomous mobile robots to support e-commerce.
Aledade	Aledade (100 M)	Series D	100000000.0	Aledade is a primary care physician platform that provides everything doctors need to create and run an accountable care organization.
Rightway	Rightway (100 M)	Series C	100000000.0	Rightway is a health technology company that is simplifying the healthcare experience for clients and members.
Outschool	Outschool (75 M)	Series C	75000000.0	Outschool is a marketplace of live online classes for kids that connects learners, parents, and teachers together.
Divvy	Divvy (110 M)	Series C	110000000.0	Divvy Homes is a tech-enabled real estate platform that facilitates rent-to-own home purchases.
Infra.Market	Infra.Market (100 M)	Series C	100000000.0	Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.
Cedar	Cedar (200 M)	Series D	200000000.0	Cedar is a patient payment and engagement platform for hospitals, health systems, and medical groups that elevates the patient experience.
dLocal	dLocal (150 M)	Venture - Series Unknown	150000000.0	DLocal is a cross-border payment processor that connects global merchants to emerging markets.
Getir	Getir (300 M)	Series C	300000000.0	Getir is a technology company that provides on-demand delivery services.
Attentive	Attentive (470 M)	Series E	470000000.0	Attentive is a personalized mobile messaging platform for innovative brands and organizations.
TigerGraph	TigerGraph (105 M)	Series C	105000000.0	TigerGraph supports advanced analytics and machine learning platforms through its distributed native graph database.
Chili Piper	Chili Piper (33 M)	Series B	33000000.0	Chili Piper helps qualified leads automatically book a meeting or start a phone call right after they fill out a form.
Deepgram	Deepgram (25 M)	Series B	25000000.0	Deepgram is a technology startup that develops an enterprise-focused automatic speech transcription and analysis platform.
Redis Labs	Redis Labs (200 M)	Secondary Market	200000000.0	Redis Labs provides an in-memory database platform for applications and different services.
Unacademy	Unacademy (50 M)	Secondary Market	50000000.0	Unacademy is an online learning platform that provides educational content such as video lectures and examinations.
Papa	Papa (60 M)	Series C	60000000.0	Papa is a platform that connects college students to senior citizens for companionship and assistance.
Carrum Health	Carrum Health (40 M)	Series A	40000000.0	Carrum Health is a digital marketplace the makes worldclass healthcare easier and less expensive — for everyone.
DealShare	DealShare (100 M)	Series D	100000000.0	DealShare is a fast growing social e-commerce startup
Flipdish	Flipdish (49 M)	Series B	48524020.0	Flipdish helps on-demand food businesses create branded food ordering systems, websites, and apps.
Fetch	Fetch (300 M)	Venture - Series Unknown	300000000.0	Fetch, part of Dentsu Aegis Network, is a global mobile-first agency.
