Name	Title	Series	Money	Description	Industries
Brex	Brex (425 M)	Series D	425000000.0	Brex is a fintech company that offers credit cards and cash management solutions for their customers to save and spend money.	Banking, Credit Cards, Financial Services, FinTech
VAST Data	VAST Data (83 M)	Series D	83000000.0	VAST Data is a software company bringing an end to complex storage tiering and unlocking the ability to use flash across the enterprise.	Artificial Intelligence, Computer, Data Storage, Software
Plum	Plum (16 M)	Series A	15600000.0	High quality health insurance and health benefits	Employee Benefits, Health Care, Health Insurance, Human Resources, Insurance
Moglix	Moglix (120 M)	Series E	120000000.0	Moglix is an online marketplace for business supplies and industrial equipment.	B2B, E-Commerce, Marketplace, Mobile
HoneyBook	HoneyBook (155 M)	Series D	155000000.0	HoneyBook is a business management platform creating tools to help creative entrepreneurs run their business on their own terms.	Apps, Financial Services, FinTech, SaaS
Babel Finance	Babel Finance (40 M)	Series A	40000000.0	Babel Finance is a leading global cryptocurrency financial institution dedicated to serving individuals and institutional clients	Blockchain, Cryptocurrency, Finance, FinTech
Ever/Body	Ever/Body (38 M)	Series B	38000000.0	Ever/Body is a cosmetic dermatology provider of personalized and tech-enabled services.	Beauty, Cosmetics, Health Care
Xanadu	Xanadu (100 M)	Series B	100000000.0	Xanadu is a photonic quantum computing company that integrates and designs quantum silicon photonic chips.	Artificial Intelligence, Big Data, Hardware, Quantum Computing, Software
Portside	Portside (17 M)	Venture - Series Unknown	17000000.0	Portside is an aircraft data, reporting & analytics platform for individual and corporate plane owners.	Analytics, Transportation
Current	Current (220 M)	Series D	220000000.0	Current is a financial technology company that offers mobile payments, online banking, and financial services.	Banking, Finance, Financial Services, FinTech
GoMechanic	GoMechanic (35 M)	Series C	35000000.0	GoMechanic provides an online car servicing platform intended to help people to schedule their car servicing online in a desired time.	Automotive, Customer Service, E-Commerce, Sales
Vestiaire Collective	Vestiaire Collective (214 M)	Series H	214466875.0	Vestiaire Collective is a global marketplace enabling people to buy and sell luxury, pre-owned fashion products.	E-Commerce Platforms, Fashion, Marketplace, Retail, Social Shopping
Adalo	Adalo (8 M)	Series A	8000000.0	Adalo is a computer software company that specializes in the fields of Android, software, and information technology.	Android, Information Technology, Mobile Apps, Software, Web Apps
Ada	Ada (130 M)	Series C	130000000.0	Ada is an automated customer experience company that provides chat bots used in customer support.	Artificial Intelligence, Intelligent Systems, Machine Learning, SaaS, Software
Bitso	Bitso (250 M)	Series C	250000000.0	Bitso is a cryptocurrency exchange platform that allows users to buy and sell bitcoin and other cryptocurrencies.	Bitcoin, Cryptocurrency, Financial Exchanges, FinTech
SafetyCulture	SafetyCulture (74 M)	Series D	73709006.0	SafetyCulture is the operational heartbeat of working teams around the world.	Apps, Public Safety, Software
Kajabi	Kajabi (550 M)	Private Equity	550000000.0	Kajabi is a knowledge e-commerce platform that helps entrepreneurs build, market, and sell educational content online.	CRM, EdTech, Lead Generation, Marketing, Software
Contractbook	Contractbook (30 M)	Series B	30000000.0	Contractbook provides an end-to-end contract management platform that automates contract management.	Legal Tech, SaaS, Software
MessageBird	MessageBird (800 M)	Series C	800000000.0	MessageBird is a cloud communications platform that connects enterprises to their global customers.	Cloud Computing, Enterprise Software, Messaging, Telecommunications
Patreon	Patreon (155 M)	Series F	155000000.0	Patreon is an online platform connecting musicians and other artists with their fan base.	Media and Entertainment, Music, Podcast, Sponsorship, Video
PathAI	PathAI (165 M)	Series C	165000000.0	PathAI is developing technology that assists pathologists in making rapid and accurate diagnoses for every patient, every time.	Health Care, Health Diagnostics
Chargebee	Chargebee (125 M)	Series G	125000000.0	Chargebee provides subscription and recurring billing systems for SaaS and e-commerce businesses.	Billing, FinTech, Payments, SaaS, Software, Subscription Service
Frubana	Frubana (65 M)	Series B	65000000.0	Frubana is a B2B platform of agri-products and packed goods for restaurants and small retailers.	AgTech, B2B, E-Commerce, Logistics, Restaurants
ActiveCampaign	ActiveCampaign (240 M)	Series C	240000000.0	ActiveCampaign specializes in email marketing, marketing automation, and sales automation.	Apps, Email Marketing, Marketing Automation, Software
CoinSwitch Kuber	CoinSwitch Kuber (24 M)	Series B	24103814.0	CoinSwitch Kuber is an India-based cryptocurrency exchange platform.	Cryptocurrency, Financial Services, FinTech, Trading Platform
BlockFi	BlockFi (350 M)	Series D	350000000.0	BlockFi is a secured non-bank lender that offers cryptoasset-backed USD loans to cryptoasset owners.	Bitcoin, Consumer Lending, Cryptocurrency, Financial Services
Productboard	Productboard (72 M)	Series C	72000000.0	Productboard is a product management system that helps organizations get the right products to market faster.	Consumer Research, Product Management, Product Research
Kutumb	Kutumb (25 M)	Series A	25000000.0	Kutumb is a social community enabler.	Internet, Social Network
Cape Privacy	Cape Privacy (20 M)	Series A	20000000.0	Better data, better outcomes - Encrypted learning lets you work with protected data without decrypting it.	Information Technology, Machine Learning, SaaS, Software
Databricks	Databricks (1000 M)	Series G	1000000000.0	Databricks is a data-and-AI company that interacts with corporate information stored in the public cloud.	Analytics, Artificial Intelligence, Information Technology, Machine Learning, SaaS, Software
Clubhouse	Clubhouse ( M)	Series C	nan	Clubhouse is an audio-based social app that allows users to spontaneously join group chats.	Apps, Messaging, Mobile Apps, Social
Scale AI	Scale AI (325 M)	Series E	325000000.0	Scale AI is the data platform for AI, providing high quality training data for leading machine learning teams.	Artificial Intelligence, Image Recognition, Machine Learning, SaaS
CRED	CRED (215 M)	Series D	214749244.0	CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.	Credit Cards, Financial Services, FinTech, Payments, Personal Finance
Loft	Loft (425 M)	Series D	425000000.0	Loft is a marketplace for residential real estate that helps manage the home buying and selling process.	Marketplace, Property Management, Real Estate
Groq	Groq (300 M)	Series C	300000000.0	Groq develops a tensor processing unit, which is an integrated circuit developed specifically for machine learning.	Electronics, Machine Learning, Manufacturing, Semiconductor
HighRadius	HighRadius (300 M)	Series C	300000000.0	HighRadius is a SaaS company that develops an artificial intelligence-based order-to-cash and treasury management software.	Accounting, Artificial Intelligence, FinTech, SaaS, Software
Lacework	Lacework (525 M)	Series D	525000000.0	Lacework is a security platform for the cloud generation of builders that provides compliance checks and automated threat defense.	Cloud Security, Compliance, Security, Software
Hinge Health	Hinge Health (300 M)	Series D	300000000.0	Hinge Health is a patient-centered digital clinic that treats chronic musculoskeletal conditions such as back and joint pain.	Health Care, Medical, Therapeutics, Wearables
Dingdong Maicai	Dingdong Maicai (700 M)	Series D	700000000.0	Dingdong Maicai is a fresh vegetable e-commerce platform.	E-Commerce, Food and Beverage, Sales
Wolt	Wolt (530 M)	Series E	530000000.0	Wolt is a food delivery company specializing in real-time logistics optimization.	Apps, Delivery, Delivery Service, Food Delivery, Mobile Payments
OutSystems	OutSystems (150 M)	Series E	150000000.0	OutSystems is a low-code platform that enables businesses to develop, deploy, and manage enterprise-grade apps.	Data Integration, Developer Platform, Developer Tools, PaaS, SaaS, Software
UiPath	UiPath (750 M)	Series F	750000000.0	UiPath is a software company developing robotic process automation and artificial intelligence software.	Artificial Intelligence, Developer Tools, Enterprise Software, Machine Learning, Robotics
Ally.io	Ally.io (50 M)	Series C	50000000.0	Ally.io is a strategic goal-planning and execution management software.	Data Integration, Enterprise Software, Human Resources, Management Information Systems, SaaS
Daily.co	Daily.co (15 M)	Series A	15000000.0	Daily.co offers video chat as an API.	Apps, Audio, Communication Hardware, Developer Platform, Real Time, Software, Video, Video Chat, Video Conferencing, Video Streaming
Rapyd	Rapyd (300 M)	Series D	300000000.0	Rapyd is a payments platform that inserts fintech services into any app and simplifies the complex offering of local payment methods.	Financial Services, FinTech, Mobile Payments, Payments
Crosschq	Crosschq (13 M)	Series A	13000000.0	Crosschq is a technology platform that provides a human intelligence-based hiring platform.	Artificial Intelligence, Human Resources, Information Technology, Internet
Cityblock Health	Cityblock Health (192 M)	Series C	192000000.0	Cityblock Health is a tech-driven healthcare provider for those in underserved communities.	Communities, Health Care, Social
Getir	Getir (128 M)	Series B	128000000.0	Getir is a technology company that provides on-demand delivery services.	Delivery Service, E-Commerce, Grocery, Logistics, Mobile Apps
Roblox	Roblox (520 M)	Series H	520000000.0	Roblox is an online gaming and entertainment platform offering a shared digital experience that brings people together through play.	3D Technology, Gaming, Online Games, Software, Video Games
Public.com	Public.com (220 M)	Series D	220000000.0	Public is an investing social network where members can invest any amount of money and own fractional shares of stocks and ETFs.	Finance, Financial Services, FinTech, Stock Exchanges, Trading Platform
TaxBit	TaxBit (100 M)	Series A	100000000.0	Best-in-class cryptocurrency tax software platform and accounting firm enabling widespread adoption with real-time tax automation.	Cryptocurrency, FinTech
Hopin	Hopin (400 M)	Series C	400000000.0	Hopin is a live virtual events platform where users can learn, interact, and connect with people from around the globe.	Events, Meeting Software, Social Network, Video Conferencing
FalconX	FalconX (50 M)	Venture - Series Unknown	50000000.0	FalconX is a cryptocurrency brokerage and digital asset trading platform.	Cryptocurrency, Financial Exchanges, FinTech, Trading Platform
Branded	Branded (150 M)	Series A	150000000.0	Branded is a startup company that acquires and partners with top-performing Amazon sellers and brands.	Consumer Goods, E-Commerce, Marketing, Supply Chain Management
ShareChat	ShareChat (502 M)	Series E	502000000.0	ShareChat is a social networking and regional content platform.	Internet, Mobile Apps, Social Media, Social Network
Squarespace	Squarespace (300 M)	Venture - Series Unknown	300000000.0	Squarespace is an all-in-one platform for websites, domains, online stores, marketing tools, and scheduling.	Developer Tools, E-Commerce Platforms, Publishing, Software, Web Design
Flutterwave	Flutterwave (170 M)	Series C	170000000.0	Flutterwave is a fintech company that provides a payment infrastructure for global merchants and payment service providers.	Financial Services, FinTech, Payments
Mambu	Mambu (135 M)	Series D	134960714.0	Mambu is a software-as-a-service banking engine provider that powers lending and deposit services.	Banking, Financial Services, FinTech, Lending
GupShup	GupShup (100 M)	Series F	100000000.0	Gupshup enables its users to communicate and share their short messages privately and publicly.	Information Services, Information Technology, Messaging, Video Chat
BRYTER	BRYTER (66 M)	Series B	66000000.0	BRYTER is a no-code software platform that automates and helps its users develop and build digital applications.	Compliance, Enterprise Software, Industrial Automation, Legal Tech, SaaS, Software
Lattice	Lattice (60 M)	Series E	60000000.0	Lattice is a people management platform that empowers people leaders to build engaged, high-performing teams.	Enterprise Applications, Human Resources, Information Technology, Productivity Tools, Software
Yotpo	Yotpo (230 M)	Series F	230000000.0	Yotpo is an eCommerce marketing platform that helps brands accelerate their direct-to-consumer growth.	Content, E-Commerce, Marketing, Social Media Marketing
AfterShip	AfterShip (66 M)	Series B	66000000.0	We help e-commerce businesses grow and make buying and selling accessible to everyone, everywhere.	Customer Service, E-Commerce, SaaS, Shipping
Razorpay	Razorpay (160 M)	Series E	160000000.0	Razorpay is a platform that enables businesses to accept, process, and disburse payments.	Financial Services, FinTech, Payments, Software
Dream11	Dream11 (400 M)	Secondary Market	400000000.0	Dream11 is India’s biggest fantasy sports platform with 10 Crore+ users	Fantasy Sports, Information Technology, Sports
Ruangguru	Ruangguru (55 M)	Venture - Series Unknown	55000000.0	Ruangguru is an information technology company that focuses on education-based services.	EdTech, Education, Training
Redis Labs	Redis Labs (110 M)	Series G	110000000.0	Redis Labs provides an in-memory database platform for applications and different services.	Analytics, Big Data, Database, Information Technology, Software
Sendbird	Sendbird (100 M)	Series C	100000000.0	Sendbird developed a messaging-as-a-service API that provides chat, voice, and video messaging for mobile apps and websites.	Developer APIs, Messaging, Mobile, Video Chat
Highspot	Highspot (200 M)	Series E	200000000.0	Highspot is an AI-fueled sales enablement platform that helps companies worldwide improve the performance of their sales teams.	Artificial Intelligence, Enterprise Software, SaaS, Sales Automation, Software
ServiceTitan	ServiceTitan (500 M)	Series F	500000000.0	ServiceTitan is a service management software that helps home services businesses generate more leads and close more sales.	CRM, Home Services, Information Technology, Real Estate, SaaS, Software
Blair	Blair (6 M)	Seed	6300000.0	Blair provides a platform that allows schools to finance students through Income-Share Agreements.	Education, Financial Services, FinTech
TytoCare	TytoCare (50 M)	Series D	50000000.0	TytoCare is a telehealth platform for AI-powered and on-demand remote medical examinations.	Artificial Intelligence, Health Care, Machine Learning, Medical Device, mHealth, Software
DispatchHealth	DispatchHealth (200 M)	Series D	200000000.0	DispatchHealth is a provider of mobile and virtual healthcare for people of all ages in the comfort of their own homes.	Health Care, Home Health Care, Medical, mHealth
Checkout.com	Checkout.com (450 M)	Series C	450000000.0	Checkout.com is an API-based platform providing online payment solutions that improve the user's checkout experience.	E-Commerce, FinTech, Payments, Transaction Processing
Innovaccer	Innovaccer (105 M)	Series D	105000000.0	Innovaccer is a healthcare data activation platform company that delivers healthcare through pioneering analytics and transparent data.	Analytics, Artificial Intelligence, Big Data, Health Care, Information Services
Dutchie	Dutchie (200 M)	Series C	200000000.0	Dutchie provides an all-in-one technology platform that powers dispensary operations.	Cannabis, Point of Sale, Software
OneStream Software	OneStream Software (200 M)	Series B	200000000.0	OneStream Software is an independent software company that develops a financial planning and analysis software.	Information Technology, Software
SaltPay	SaltPay (500 M)	Series C	500000000.0	SaltPay is a FinTech company dedicated to building a better future for merchants by servicing them through payment and management tools.	Financial Services, FinTech, Information Technology
Groww	Groww (83 M)	Series D	83062674.0	Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.	Financial Services, FinTech, Funding Platform, Impact Investing
Sidecar Health	Sidecar Health (125 M)	Series C	125000000.0	Sidecar Health is an insurtech company that provides a personalized health insurance platform.	Health Care, Health Insurance, Insurance, InsurTech
Cockroach Labs	Cockroach Labs (160 M)	Series E	160000000.0	Cockroach Labs is a software company that develops a cloud-native SQL database for modern cloud applications.	Cloud Computing, Database, Enterprise Software, Software
Kong	Kong (100 M)	Series D	100000000.0	Kong is the cloud-connectivity company offering the industry-leading service connectivity platform designed for modern architectures.	Cloud Computing, Cloud Data Services, Developer APIs, Enterprise Software, Open Source, SaaS, Software
Komodo Health	Komodo Health (220 M)	Series E	220000000.0	Komodo Health develops computer software that brings transparency and market intelligence to healthcare and life sciences.	Health Care, Information Technology, Predictive Analytics, Software
SeekOut	SeekOut (65 M)	Series B	65399972.0	SeekOut gives companies a competitive edge in recruiting hard-to-find and diverse talent.	Artificial Intelligence, Recruiting, SaaS, Software
Vendr	Vendr (60 M)	Series A	60000000.0	Vendr empowers companies to purchase SaaS without friction.	Information Technology, SaaS, Software
Rhino	Rhino (95 M)	Private Equity	95000000.0	Rhino is a licensed insurance agency that gives renters financial alternatives to security deposits.	Consumer, Insurance, Real Estate
Virta Health	Virta Health (133 M)	Series E	133000000.0	Virta delivers a clinically-proven treatment to reverse type 2 diabetes and other chronic metabolic diseases.	Diabetes, Health Care, Medical, Personal Health
6sense	6sense (125 M)	Series D	125000000.0	6sense is an account engagement platform that helps B2B organizations achieve predictable revenue growth.	Big Data, Business Information Systems, Marketing, Sales Automation
Pristyn Care	Pristyn Care (53 M)	Series D	53000000.0	Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures	Health Care, Hospital, Internet
Weee!	Weee! (316 M)	Series D	316000149.0	Weee! is an online grocery delivery platform that offers Hispanic and Asian foods specialty products and everyday staples.	E-Commerce, Grocery, Local, Mobile
Zomato	Zomato (250 M)	Venture - Series Unknown	250000000.0	Zomato is an online restaurant guide and food ordering platform that allows users to order meals from restaurants and have them delivered.	Food Delivery, Mobile Apps, Reservations, Restaurants
Blend	Blend (300 M)	Series G	300000000.0	Blend is a digital lending platform that supports and simplifies applications for mortgages, consumer loans, and deposit accounts.	Financial Services, FinTech, Lending, Software
Locus Robotics	Locus Robotics (150 M)	Series E	150000000.0	Locus Robotics is a warehouse robotics company that manufactures autonomous mobile robots to support e-commerce.	E-Commerce, Industrial Automation, Logistics, Robotics, Warehousing
Aledade	Aledade (100 M)	Series D	100000000.0	Aledade is a primary care physician platform that provides everything doctors need to create and run an accountable care organization.	Health Care, Hospitality, Medical, Wellness
Rightway	Rightway (100 M)	Series C	100000000.0	Rightway is a health technology company that is simplifying the healthcare experience for clients and members.	Health Care, Medical
Infra.Market	Infra.Market (100 M)	Series C	100000000.0	Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.	Construction, E-Commerce, Marketplace, Procurement
Divvy	Divvy (110 M)	Series C	110000000.0	Divvy Homes is a tech-enabled real estate platform that facilitates rent-to-own home purchases.	Financial Services, Real Estate, Rental Property
Outschool	Outschool (75 M)	Series C	75000000.0	Outschool is a marketplace of live online classes for kids that connects learners, parents, and teachers together.	Children, E-Learning, EdTech, Education, Information Technology, Marketplace
Cedar	Cedar (200 M)	Series D	200000000.0	Cedar is a patient payment and engagement platform for hospitals, health systems, and medical groups that elevates the patient experience.	Billing, FinTech, Health Care, Medical, Payments
dLocal	dLocal (150 M)	Venture - Series Unknown	150000000.0	DLocal is a cross-border payment processor that connects global merchants to emerging markets.	E-Commerce, Financial Services, FinTech, Payments
Getir	Getir (300 M)	Series C	300000000.0	Getir is a technology company that provides on-demand delivery services.	Delivery Service, E-Commerce, Grocery, Logistics, Mobile Apps
Attentive	Attentive (470 M)	Series E	470000000.0	Attentive is a personalized mobile messaging platform for innovative brands and organizations.	Advertising, Marketing, Marketing Automation, Messaging, Mobile, Personalization, SaaS, Software
TigerGraph	TigerGraph (105 M)	Series C	105000000.0	TigerGraph supports advanced analytics and machine learning platforms through its distributed native graph database.	Analytics, Data Visualization, Database, Enterprise Software, Machine Learning
Chili Piper	Chili Piper (33 M)	Series B	33000000.0	Chili Piper helps qualified leads automatically book a meeting or start a phone call right after they fill out a form.	B2B, Enterprise Software, Internet, Productivity Tools, SaaS, Sales, Sales Automation, Software
Deepgram	Deepgram (25 M)	Series B	25000000.0	Deepgram is a technology startup that develops an enterprise-focused automatic speech transcription and analysis platform.	Artificial Intelligence, Audio, Developer APIs, Speech Recognition
Redis Labs	Redis Labs (200 M)	Secondary Market	200000000.0	Redis Labs provides an in-memory database platform for applications and different services.	Analytics, Big Data, Database, Information Technology, Software
Unacademy	Unacademy (50 M)	Secondary Market	50000000.0	Unacademy is an online learning platform that provides educational content such as video lectures and examinations.	E-Learning, EdTech, Education, Training
Papa	Papa (60 M)	Series C	60000000.0	Papa is a platform that connects college students to senior citizens for companionship and assistance.	Elder Care, Elderly, Nursing and Residential Care
Carrum Health	Carrum Health (40 M)	Series A	40000000.0	Carrum Health is a digital marketplace the makes worldclass healthcare easier and less expensive — for everyone.	Health Care, Hospital, Marketplace
DealShare	DealShare (100 M)	Series D	100000000.0	DealShare is a fast growing social e-commerce startup	E-Commerce, Grocery, Group Buying, Retail Technology
Flipdish	Flipdish (49 M)	Series B	48524020.0	Flipdish helps on-demand food businesses create branded food ordering systems, websites, and apps.	Brand Marketing, E-Commerce, Food and Beverage, Food Delivery, Mobile Apps
Fetch	Fetch (300 M)	Venture - Series Unknown	300000000.0	Fetch, part of Dentsu Aegis Network, is a global mobile-first agency.	Advertising, Marketing, Mobile
